0012_AH42_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,6293,6171,6724,6952,6171,6952,14,781,1673, 6052 / 30277 ,19.99%,  ,  ,
0012_AH51_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,83,77,107,129,77,129,14,52,111, 403 / 30277 ,1.33%,30277, ,
0012_CP1_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,24,24,24,24,24,24, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 4766 ,0.00%,  ,  ,
0012_CP2_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,948,807,333,647,333,948,-13,615,-1419, 4766 / 4766 ,100.00%,4766, ,
0012_HP1_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,855,807,49,81,49,855,-13,806,-1860, 6246 / 7912 ,78.94%,  ,  ,
0012_HP2_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,521,521,521,736,521,736,7,215,921, 1666 / 7912 ,21.06%,7912, ,
0013_AH01D1_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1782,1764,1858,1930,1764,1930,14,166,355, 1286 / 23136 ,5.56%,  ,  ,
0013_AH01D2_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1896,1876,1980,2060,1876,2060,14,184,394, 1426 / 23136 ,6.16%,  ,  ,
0013_AH11D1_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1902,1882,1992,2088,1882,2088,14,206,441, 1596 / 23136 ,6.90%,  ,  ,
0013_AH11D2_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1842,1820,1928,2020,1820,2020,14,200,428, 1550 / 23136 ,6.70%,  ,  ,
0013_AH12D1_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1215,1201,1267,1327,1201,1327,14,126,270, 976 / 23136 ,4.22%,  ,  ,
0013_AH12D2_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1262,1248,1316,1378,1248,1378,14,130,278, 1007 / 23136 ,4.35%,  ,  ,
0013_AH21D1_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1184,1172,1228,1294,1172,1294,14,122,261, 945 / 23136 ,4.08%,  ,  ,
0013_AH21D2_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1144,1134,1186,1252,1134,1252,14,118,252, 914 / 23136 ,3.95%,  ,  ,
0013_AH22D1_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1608,1588,1696,1768,1588,1768,14,180,385, 1395 / 23136 ,6.03%,  ,  ,
0013_AH22D2_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1460,1440,1540,1606,1440,1606,14,166,355, 1286 / 23136 ,5.56%,  ,  ,
0013_AH31D1_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1610,1594,1680,1754,1594,1754,14,160,342, 1240 / 23136 ,5.36%,  ,  ,
0013_AH31D2_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1629,1613,1699,1775,1613,1775,14,162,347, 1255 / 23136 ,5.42%,  ,  ,
0013_AH32D1_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,2172,2148,2276,2364,2148,2364,14,216,462, 1674 / 23136 ,7.24%,  ,  ,
0013_AH32D2_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,2015,1993,2111,2193,1993,2193,14,200,428, 1550 / 23136 ,6.70%,  ,  ,
0013_AH41D1_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1760,1718,1852,1928,1718,1928,14,210,450, 1627 / 23136 ,7.03%,  ,  ,
0013_AH41D2_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1736,1694,1826,1900,1694,1900,14,206,441, 1596 / 23136 ,6.90%,  ,  ,
0013_AH42_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1992,1968,2092,2202,1968,2202,14,234,501, 1813 / 23136 ,7.84%,23136, ,
0013_CP1_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 2557 ,0.00%,  ,  ,
0013_CP2_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,3778,3736,3916,4066,3736,4066,14,330,707, 2557 / 2557 ,100.00%,2557, ,
0013_HP1_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,1112,1100,1162,1214,1100,1214,14,114,244, 883 / 883 ,100.00%,  ,  ,
0013_HP2_KWH , (REYNOLDS HALL   ) ,  -N-       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 883 ,0.00%,883, ,
0017A_AH11_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,33000,33000,33000,33000,33000,33000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH11EF_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,27000,27000,27000,27000,27000,27000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH11OA_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,10000,10000,10000,10000,10000,10000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH12_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,21000,21000,21000,22000,21000,22000,7,1000,4285, 7750 / 62000 ,12.50%,  ,  ,
0017A_AH12OA_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,20000,20000,20000,21000,20000,21000,7,1000,4285, 7750 / 62000 ,12.50%,  ,  ,
0017A_AH21_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,29000,29000,29000,29000,29000,29000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH21EF_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,13000,13000,13000,13000,13000,13000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH21OA_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,11000,11000,11000,11000,11000,11000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH22_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,48000,48000,48000,48000,48000,48000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH22OA_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,6000,6000,6000,6000,6000,6000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH23_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,19000,19000,19000,19000,19000,19000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH31_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,32000,32000,32000,32000,32000,32000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH31EF_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,18000,18000,18000,18000,18000,18000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH31OA_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH32_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,19000,19000,19000,19000,19000,19000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH32OA_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,8000,8000,8000,8000,8000,8000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH41_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,85000,85000,85000,87000,85000,87000,7,2000,8571, 15500 / 62000 ,25.00%,  ,  ,
0017A_AH42_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,27000,27000,27000,28000,27000,28000,7,1000,4285, 7750 / 62000 ,12.50%,  ,  ,
0017A_AH43_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,22000,22000,22000,22000,22000,22000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH44A_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,52000,52000,52000,52000,52000,52000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH44B_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,79000,79000,79000,79000,79000,79000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH44BOA_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,8000,8000,8000,8000,8000,8000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH45_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,109000,109000,109000,109000,109000,109000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AH46_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,86000,86000,86000,86000,86000,86000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AHG3_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,37000,37000,37000,37000,37000,37000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AHG3OA_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,6000,6000,6000,6000,6000,6000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AHG4_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,40000,40000,40000,40000,40000,40000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AHG4EF_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,10000,10000,10000,10000,10000,10000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AHG4OA_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,10000,10000,10000,10000,10000,10000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AHG5_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,19000,19000,19000,19000,19000,19000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_AHG5OA_MWH , (JOHNSTON WEST   ) ,  *F*       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_CP1_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,122000,122000,122000,122000,122000,122000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_CP2_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,70000,70000,70000,70000,70000,70000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_CP3_MWH , (JOHNSTON WEST   ) ,  *F*       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_HP1_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,17000,17000,17000,17000,17000,17000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
0017A_HP2_MWH , (JOHNSTON WEST   ) ,  -N-       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 62000 ,0.00%,  ,  ,
